id,slug,name,avatar,usernameId,type,about,servesAlcohol,servesFood,ageRestriction,minimumAge,requiresReservation,reservationLink,active,accountManagerId,canText,canCall,canEmail,phone,email,phoneBooking,emailBooking,website,socialYouTube,socialFacebook,socialInstagram,socialTwitter,businessYelp,businessTripadvisor,businessGoogle,businessOpentable,addressLong,addressShort,streetNumber,unit,streetId,neighborhoodId,zipcodeId,cityId,stateId
clrpbosh200i6t7ofmartya2e,kaktus-brewing-company-inc,Kaktus Brewing Company Inc.,,,BREWERY,,true,true,true,21,false,,false,,false,true,false,(505) 295-3186,,,,http://www.kaktusbrewery.com/,,,,,,,,,"471 South Hill, Bernalillo, NM 87004, USA","471 South Hill, Bernalillo",471,,clrpbosh300i7t7ofr6zypgp2,,clrpboihu002bt7of12wg1n04,clrpbom7000eit7ofpgrb8bvh,clrpbogi4001pt7ofp2tz3lwe
clrpbosr800ibt7ofe2nh7u35,mtuccis-italian,M'tucci's Italian,https://powoppetcaklcixcjhlg.supabase.co/storage/v1/object/public/images/venues/mtuccis-avatar.png,,RESTAURANT,More italian things,true,true,false,,false,,false,,false,true,false,(505) 554-2660,,,,https://www.mtuccis.com/italian,,,,,,,,,"6001 Winter Haven Rd NW M, Albuquerque, NM 87120, USA","6001 Winter Haven Rd NW M, Albuquerque",6001,M,clrpbosr800ict7ofvt77fzgo,,clrpboihu004dt7ofh5nwpfgf,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbosr300i8t7ofbgfg38i1,sandia-resort-and-casino,Sandia Resort & Casino,,,CASINO,,true,true,,,false,,false,,false,true,false,(505) 796-7500,,,,http://www.sandiacasino.com/,,,,,,,,,"30 Rainbow Rd, Albuquerque, NM 87113, USA","30 Rainbow Rd, Albuquerque",30,,clrpbosr300i9t7of1v49wc0y,,clrpboihu0047t7ofteo8qeuy,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbosrk00idt7ofv6f2y221,mtuccis-bar-roma,M'tucci's Bar Roma,https://powoppetcaklcixcjhlg.supabase.co/storage/v1/object/public/images/venues/mtuccis-avatar.png,,RESTAURANT,yet another italian,true,true,,,false,,false,,false,true,false,(505) 508-3948,,,,https://www.mtuccis.com/barroma,,,,,,,,,"3222 Central Ave SE, Albuquerque, NM 87106, USA","3222 Central Ave SE, Albuquerque",3222,,clrpbosrl00iet7of9ul6dial,clrpbosrl00ift7of9d82mcqs,clrpboihu0040t7of5wrp9ek3,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbosrv00igt7ofdcszpzs0,the-first-turn-lounge,The First Turn Lounge,,,BAR,,true,false,,,false,,false,,false,true,false,(505) 767-7171,,,,,,,,,,,,,"145 Louisiana Blvd NE, Albuquerque, NM 87108, USA","145 Louisiana Blvd NE, Albuquerque",145,,clrpbosrv00iht7of9ga1sjg7,clrpbosrv00iit7ofox65i61z,clrpboihu0042t7ofiyfg0zks,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbot9300ijt7of8o400qid,abq-biopark-botanic-garden,ABQ BioPark - Botanic Garden,,,COMPLEX,,false,false,,,false,,false,,false,true,false,(505) 764-6200,,,,http://www.cabq.gov/biopark,,,,,,,,,"2601 Central Ave NW, Albuquerque, NM 87104, USA","2601 Central Ave NW, Albuquerque",2601,,clrpbot9300ikt7ofa42emv98,clrpbot9400ilt7ofnsc41yh2,clrpboihu003yt7of8pw3pgqs,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbothv00int7ofsebp4tpx,mtuccis-twenty-five,M'tucci's Twenty-Five,https://powoppetcaklcixcjhlg.supabase.co/storage/v1/object/public/images/venues/mtuccis-avatar.png,,RESTAURANT,Italian things,true,true,,,false,,false,,false,true,false,(505) 554-2660,,,,https://www.mtuccis.com/twentyfive,,,,,,,,,"4939 Pan American Fwy, Albuquerque, NM 87109, USA","4939 Pan American Fwy, Albuquerque",4939,,clrpbothw00iot7ofo0dbw5eg,clrpbothw00ipt7ofh1w8hfsy,clrpboihu0043t7ofl2ae0lfz,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbotr500iut7ofmyx033tn,vernons-speakeasy,Vernon's Speakeasy,https://powoppetcaklcixcjhlg.supabase.co/storage/v1/object/public/images/venues/vernons-avatar.png,,RESTAURANT,"Steakhouse, live music",true,true,true,13,true,https://www.yougottapassword.com,false,,false,true,false,(505) 341-0831,,,,https://www.yougottapassword.com,,,,,,,,,"6855 4th St NW, Albuquerque, NM 87107, USA","6855 4th St NW, Albuquerque",6855,,clrpbotr500ivt7ofrwnj1r79,,clrpboihu0041t7ofg5a65mza,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbotr800izt7ofltd0vrot,marble-brewery-ne-heights,Marble Brewery NE Heights,,,BREWERY,We brew things,true,false,true,21,false,,false,,false,true,false,(505) 323-4030,,,,http://www.marblebrewery.com/,,,,,,,,,"9904 Montgomery Blvd NE, Albuquerque, NM 87111, USA","9904 Montgomery Blvd NE, Albuquerque",9904,,clrpbotr800j0t7ofjktb04ka,clrpbotr800j1t7of9o728is5,clrpboihu0045t7offd5h9nk4,clrpbom7000ebt7offgcx1q1k,clrpbogi4001pt7ofp2tz3lwe
clrpbouhz00j5t7ofkfzdugq2,the-mine-shaft-tavern-and-cantina,The Mine Shaft Tavern & Cantina,,,BAR,,true,true,true,21,false,,false,,false,true,false,(505) 473-0743,,,,http://www.themineshafttavern.com/,,,,,,,,,"2846 NM-14, Madrid, NM 87010, USA","2846 NM-14, Madrid",2846,,clrpbouhz00j6t7of77fybrb6,,clrpboihu002ht7ofyyd9r73d,clrpbom7100g2t7of401de4e1,clrpbogi4001pt7ofp2tz3lwe
