id,slug,performerType,name,avatar,usernameId,about,basedInId,active,accountManagerId,canText,canCall,canEmail,phone,email,website,socialYouTube,socialSpotify,socialBandcamp,socialFacebook,socialInstagram,socialTwitter
clrpboode00hct7ofsrjl0ir1,oscar-butler,musician,Oscar Butler,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboode00hdt7of857jldv7,tony-cesarano,musician,Tony Cesarano,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboode00hgt7ofq4g6uke7,chris-cordova,musician,Chris Cordova,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboode00hht7of7x6pa7cm,jenna-kuchar,musician,Jenna Kuchar,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboode00hit7of1jgs4l42,asher-mundo,musician,Asher Mundo,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboode00hjt7ofetbyktvk,cade-gutierrez,musician,Cade Gutierrez,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboode00hkt7of3s4slh5x,jonah-minkus,musician,Jonah Minkus,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboode00hlt7ofwjvj7v9u,alex-alunday,musician,Alex Alunday,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboode00hmt7of4ttpeeal,alex-maryol,musician,Alex Maryol,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboode00hnt7ofiw30c5fb,gilbert-uribe,musician,Gilbert Uribe,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboode00hot7ofj3dmwop7,marty-york,musician,Marty York,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboode00hpt7ofauz7e17n,javier-ortega,musician,Javier Ortega,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboode00hqt7ofsbebw618,cali-shaw-,musician,"Cali Shaw ",,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboodf00hrt7of0kdb3l2k,shane-wallin,musician,Shane Wallin,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboodf00hst7of9blgy31g,johnny-lloyd-,musician,"Johnny Lloyd ",,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboodf00htt7ofauu33r9r,matt-jones,musician,Matt Jones,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboodf00hut7ofioykwhw3,dee-brown,musician,Dee Brown,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboodf00hvt7ofw2vq0ier,ryan-bridwell,musician,Ryan Bridwell,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboodf00hwt7ofb82wyoah,ray-anthony,musician,Ray Anthony,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboodd00hat7oflnc29wwy,rj-perez,musician,RJ Perez,https://assets-global.website-files.com/62228518404c49aebf6fa41e/64d29a8b3694c1dc0f75b5d5_IMG_6038.jpeg,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpbvw3a000qpwskqyp8mynx,seth-hoffman,musician,Seth Hoffman,https://assets-global.website-files.com/62228518404c49aebf6fa41e/658bc4104e14b75d3267a09c_Seth%20Hoffman.jpg,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboode00hft7of0ca0vpv0,karl-zink,musician,Karl Zink,https://assets-global.website-files.com/62228518404c49aebf6fa41e/62ba0a92da8b8f03588937c8_304055_300935036599700_338755723_n.jpg,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboode00het7ofxhdgphzk,calvin-appleberry,musician,Calvin Appleberry,https://assets-global.website-files.com/62228518404c49aebf6fa41e/6270a3db1ec8da46385fe678_calvin_appleberry_band_sandia-700x450.jpg,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboodd00h9t7of79wk2tew,josue-urrutia,musician,Josue Urrutia,https://assets-global.website-files.com/62228518404c49aebf6fa41e/6463d6b575501b0a4fc9f7de_Josue%20Urrutia.jpg,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboodd00hbt7of1vlvtj7p,michael-weitzenhoffer,musician,Michael Weitzenhoffer,https://assets-global.website-files.com/62228518404c49aebf6fa41e/63bcc82ef4779c3618568336_unnamed-4.jpg,,"Michael Weitzenhoffer plays a variety of popular tunes and light jazz, and is always happy to take a request.",clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
