id,slug,performerType,name,avatar,usernameId,about,basedInId,active,accountManagerId,canText,canCall,canEmail,phone,email,website,socialYouTube,socialSpotify,socialBandcamp,socialFacebook,socialInstagram,socialTwitter
clrpboqal00hyt7of7vh7vazt,chris-cordova-jazz-featuring-jenna-kuchar,group,Chris Cordova Jazz: Featuring Jenna Kuchar,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboqal00hzt7ofjrz8jzhh,asher-mundo-duo,group,Asher Mundo Duo,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboqal00i0t7ofk8objexd,ray-anthony-powerslyde,group,Ray Anthony & Powerslyde,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboqal00i1t7ofqsrwxccm,ryan-bridwell-and-friends,group,Ryan Bridwell And Friends,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboqal00i2t7ofq34f5og4,cade-gutierrez-trio,group,Cade Gutierrez Trio,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboqal00i3t7of3qti0rwx,jonah-minkus-trio,group,Jonah Minkus Trio,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboqal00i4t7of77uo3i62,alex-alunday-trio,group,Alex Alunday Trio,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboqal00i5t7of87w7hzea,the-dee-brown-situation,group,The Dee Brown Situation,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpbvv010006pwsk7uslhdu2,tony-cesarano-jazz-brasileiro-duo,group,Tony Cesarano Jazz Brasileiro Duo,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpbvv010007pwskkqsml3xc,chris-hagedorn-connection,group,Chris Hagedorn Connection,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpbvvcg000bpwskqrqs3adk,john-funkhouser-trio,group,John Funkhouser Trio,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpbvvcg000cpwskluoexra0,tony-cesarano-trio,group,Tony Cesarano Trio,,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
clrpboqal00hxt7ofhgzb18z1,artistry-jazz,group,Artistry Jazz,https://assets-global.website-files.com/62228518404c49aebf6fa41e/650d3025e836d79a25bd2776_Artistry%20Jazz%202.JPG,,,clrpbom7000ebt7offgcx1q1k,false,,true,true,true,,,,,,,,,
